longOrShort,size,price,open,signal,multiplier,balBeforeOpen,balAfterOpen,balBeforeClose,balAfterClose,sellPrice
-1.0,145.81283800328185,1.39955,0,-0.000319194793701,-0.005,9720.855866885457,9575.043028882175,9296.895606543652,9444.417086998617,1.38315
-1.0,143.62564543323262,1.40255,0,-0.0007140517234799,-0.005,9575.043028882175,9431.417383448943,9444.417086998617,9590.029355027411,1.38315
-1.0,141.47126075173415,1.4009,0,-0.0003810644149778,-0.005,9431.417383448943,9289.946122697209,9590.029355027411,9733.2931169415,1.38315
-1.0,139.34919184045813,1.3992,0,-9.096860885618968e-05,-0.005,9289.946122697209,9150.596930856751,9733.2931169415,9874.240761132616,1.38315
1.0,148.11361141698924,1.38315,0,9.349584579487888e-05,0.005,9874.240761132616,9726.127149715627,9732.851515761202,9884.445366032294,1.41565
-1.0,145.8919072457344,1.39475,0,-5.72204589789955e-07,-0.005,9726.127149715627,9580.235242469893,9884.445366032294,10028.15111743545,1.41565
1.0,150.42226676153174,1.41565,0,0.0010267615318299,0.005,10028.15111743545,9877.728850673917,9303.673094484868,9452.060545855249,1.3965
1.0,148.16593276010875,1.41565,0,0.0013248443603517,0.005,9877.728850673917,9729.562917913809,9452.060545855249,9598.222185455073,1.3965
1.0,145.9434437687071,1.41041,0,0.0007079124450684,0.005,9729.562917913809,9583.619474145102,9439.865182032925,9587.716721393052,1.42885
-1.0,143.75429211217653,1.41805,0,-0.0009098887443541,-0.005,9583.619474145102,9439.865182032925,9598.222185455073,9744.161100813975,1.3965
-1.0,143.81575082089577,1.42885,0,-0.0003235101699828,-0.005,9587.716721393052,9443.900970572156,9443.900970572156,9589.191264381838,1.4142
1.0,143.83786896572755,1.4142,0,0.0003530144691468,0.005,9589.191264381838,9445.35339541611,9744.161100813975,9886.198707949203,1.3965
-1.0,141.68030093124165,1.41675,0,-7.840394973759216e-05,-0.005,9445.35339541611,9303.673094484868,9886.198707949203,10029.904084648124,1.3965
-1.0,150.44856126972186,1.3965,0,-0.0003483653068542,-0.005,10029.904084648124,9879.455523378401,9160.394195663677,9309.124422130499,1.41245
1.0,148.191832850676,1.3965,0,0.0001009821891785,0.005,9879.455523378401,9731.263690527725,9309.124422130499,9459.008814762034,1.41245
1.0,145.96895535791586,1.39745,0,0.000477433204651,0.005,9731.263690527725,9585.29473516981,9459.008814762034,9606.54457703996,1.41245
1.0,143.77942102754713,1.39285,0,0.0005812287330629,0.005,9585.29473516981,9441.515314142262,9606.54457703996,9752.347242962607,1.41245
1.0,141.62272971213392,1.4062,0,0.0005781173706056,0.005,9441.515314142262,9299.892584430128,9325.843705363137,9464.562877048247,1.37737
1.0,139.4983887664519,1.3988,0,0.000163233280182,0.005,9299.892584430128,9160.394195663677,9464.562877048247,9601.924112203556,1.37737
-1.0,146.2852086444391,1.41245,0,-9.65595245353548e-06,-0.005,9752.347242962607,9606.062034318167,9320.041537246343,9467.861629810292,1.39763
1.0,144.0909305147725,1.4015,0,0.0001415610313417,0.005,9606.062034318167,9461.971103803395,9601.924112203556,9743.534190664586,1.37737
-1.0,141.92956655705092,1.4015,0,-5.553960800148779e-05,-0.005,9461.971103803395,9320.041537246343,9743.534190664586,9887.907396494575,1.37737
-1.0,142.01792444715437,1.39763,0,-2.5451183318919416e-05,-0.005,9467.861629810292,9325.843705363137,9887.907396494575,10031.98400825475,1.37737
-1.0,150.47976012382125,1.37737,0,-4.6336650848227e-05,-0.005,10031.98400825475,9881.50424813093,9733.281684408967,9881.637595068369,1.39681
1.0,148.22256372196395,1.38143,0,0.0002280235290529,0.005,9881.50424813093,9733.281684408967,9881.637595068369,10031.510378511957,1.39681
1.0,150.47265567767934,1.39681,0,0.0004770994186401,0.005,10031.510378511957,9881.037722834279,8939.401311167363,9091.776406761184,1.41447
1.0,148.21556584251417,1.3908,0,0.0012158274650575,0.005,9881.037722834279,9732.822156991764,9161.861237109199,9311.792556913508,1.4069
1.0,145.99233235487645,1.3938,0,0.0004659414291383,0.005,9732.822156991764,9586.829824636887,8504.47687579716,8652.14511381833,1.4098
-1.0,143.8024473695533,1.3938,0,-0.0003607630729675,-0.005,9586.829824636887,9443.027377267334,8652.14511381833,8794.296794106585,1.4098
-1.0,141.64541065901,1.39355,0,-8.282661437973884e-05,-0.005,9443.027377267334,9301.381966608324,8794.296794106585,8934.29049659351,1.4098
1.0,139.52072949912485,1.3849,0,0.0001496076583863,0.005,9301.381966608324,9161.861237109199,9311.792556913508,9453.529660193397,1.4069
-1.0,141.80294490290095,1.4069,0,-8.145570755005899e-05,-0.005,9453.529660193397,9311.726715290495,8431.699875678392,8575.249529682984,1.38957
1.0,139.6759007293574,1.39415,0,0.000555729866028,0.005,9311.726715290495,9172.050814561138,8934.29049659351,9075.534326058236,1.4098
1.0,137.58076221841708,1.40092,0,0.000166404247284,0.005,9172.050814561138,9034.470052342722,9107.617510035521,9243.747748413914,1.38615
-1.0,135.5170507851408,1.4053,0,-2.0861625671320677e-05,-0.005,9034.470052342722,8898.95300155758,8575.249529682984,8712.283468825664,1.38957
-1.0,133.4842950233637,1.4053,0,-6.780624389632166e-05,-0.005,8898.95300155758,8765.468706534217,8712.283468825664,8847.261898881205,1.38957
1.0,131.48203059801324,1.40695,0,0.0001633524894715,0.005,8765.468706534217,8633.986675936203,8847.261898881205,8977.119736940895,1.38957
-1.0,129.50980013904305,1.40691,0,-0.0001858830451963,-0.005,8633.986675936203,8504.47687579716,8977.119736940895,9108.225730108925,1.38957
-1.0,136.13301489087354,1.4098,0,-0.0001020908355711,-0.005,9075.534326058236,8939.401311167363,9108.225730108925,9246.312192929463,1.38957
-1.0,136.37664610141775,1.41447,0,-9.781122207622108e-05,-0.005,9091.776406761184,8955.399760659766,8955.399760659766,9093.561055229753,1.39596
1.0,136.4034158284463,1.39596,0,0.0001889824867248,0.005,9093.561055229753,8957.157639401306,8725.679253087867,8863.756492316083,1.41309
-1.0,134.3573645910196,1.39792,0,-5.191564559930695e-05,-0.005,8957.157639401306,8822.800274810286,8863.756492316083,8996.655832684797,1.41309
1.0,132.3420041221543,1.39792,0,4.264116287243975e-05,0.005,8822.800274810286,8690.458270688132,8996.655832684797,9130.433990665922,1.41309
1.0,130.35687406032199,1.39573,0,0.0004157781600952,0.005,8690.458270688132,8560.10139662781,9130.433990665922,9262.412235144368,1.41309
1.0,128.40152094941715,1.39914,0,0.0004128456115723,0.005,8560.10139662781,8431.699875678392,9101.255734771388,9230.95949679909,1.41333
1.0,138.69468289394194,1.38957,0,7.163286209110484e-05,0.005,9246.312192929463,9107.617510035521,8443.738654429662,8584.380654308903,1.40908
1.0,138.6562162262087,1.38615,0,8.045434951794638e-05,0.005,9243.747748413914,9105.091532187706,9105.091532187706,9245.22318699512,1.4009
-1.0,138.67834780492677,1.4009,0,-1.4460086822263148e-05,-0.005,9245.22318699512,9106.544839190192,9092.495104347105,9229.208454504856,1.42075
1.0,136.59817258785287,1.39351,0,0.0004175782203675,0.005,9106.544839190192,8969.946666602338,8584.380654308903,8722.505068938215,1.40908
1.0,134.54919999903507,1.39351,0,0.0002377152442934,0.005,8969.946666602338,8835.397466603303,8722.505068938215,8858.557617348088,1.40908
-1.0,132.53096199904954,1.39712,0,-0.0002193689346312,-0.005,8835.397466603303,8702.866504604253,9262.412235144368,9393.42828112824,1.41309
-1.0,130.5429975690638,1.40015,0,-5.08546829222082e-05,-0.005,8702.866504604253,8572.32350703519,9229.208454504856,9357.830810892674,1.42075
1.0,128.58485260552783,1.39787,0,0.0001237988471985,0.005,8572.32350703519,8443.738654429662,9393.42828112824,9523.413164821533,1.41309
-1.0,132.8783642602213,1.40908,0,-0.0001612305641173,-0.005,8858.557617348088,8725.679253087867,8418.385364988726,8549.819030196752,1.4244
-1.0,142.851197472323,1.41309,0,-3.5738945007173774e-05,-0.005,9523.413164821533,9380.561967349211,9362.368680195199,9503.638808713338,1.42873
1.0,140.70842951023815,1.40986,0,4.092454910296459e-05,0.005,9380.561967349211,9239.853537838973,8549.819030196752,8691.97859710012,1.4244
-1.0,138.5978030675846,1.40986,0,-0.0001795411109922,-0.005,9239.853537838973,9101.255734771388,8691.97859710012,8829.147029835472,1.4244
-1.0,138.46439245198636,1.41333,0,-0.0002443432807921,-0.005,9230.95949679909,9092.495104347105,9503.638808713338,9640.594458236383,1.42873
-1.0,140.36746216339012,1.42075,0,-5.9211254119825605e-05,-0.005,9357.830810892674,9217.463348729283,8566.259177022122,8708.541347203622,1.40137
1.0,138.26195023093925,1.41972,0,8.454322814953876e-05,0.005,9217.463348729283,9079.201398498344,8708.541347203622,8845.0162501388,1.40137
-1.0,136.18802097747516,1.42008,0,-0.0001064658164976,-0.005,9079.201398498344,8943.013377520869,8845.0162501388,8982.998591064792,1.40137
-1.0,134.14520066281304,1.41609,0,-0.0001743793487548,-0.005,8943.013377520869,8808.868176858055,8982.998591064792,9118.538206880425,1.40137
-1.0,132.13302265287084,1.42006,0,-0.0001195907592772,-0.005,8808.868176858055,8676.735154205184,9118.538206880425,9252.410287174087,1.40137
-1.0,130.15102731307775,1.42006,0,-8.904933929275271e-06,-0.005,8676.735154205184,8546.584126892107,9252.410287174087,9384.274286263344,1.40137
1.0,128.1987619033816,1.41913,0,1.4114379882902129e-05,0.005,8546.584126892107,8418.385364988726,9384.274286263344,9510.868677875487,1.40137
-1.0,132.43720544753208,1.4244,0,-7.22289085387459e-05,-0.005,8829.147029835472,8696.70982438794,9510.868677875487,9645.447156028338,1.40137
1.0,130.45064736581912,1.41451,0,2.319812774658321e-05,0.005,8696.70982438794,8566.259177022122,9640.594458236383,9772.356519594001,1.42873
1.0,144.68170734042508,1.40137,0,0.0001021146774293,0.005,9645.447156028338,9500.765448687913,9358.253966957594,9505.432091149738,1.42555
1.0,142.51148173031868,1.40831,0,6.806850433387251e-06,0.005,9500.765448687913,9358.253966957594,9505.432091149738,9649.688144703754,1.42555
1.0,144.7453221705563,1.42555,0,0.0004317522048951,0.005,9649.688144703754,9504.942822533198,9625.77117180009,9772.049694745629,1.44065
1.0,142.57414233799796,1.42555,0,0.0012399196624756,0.005,9504.942822533198,9362.368680195199,9772.049694745629,9916.134039846984,1.44065
1.0,146.58534779391002,1.42873,0,0.0005019187927246,0.005,9772.356519594001,9625.77117180009,9485.02987109771,9629.990060947814,1.41289
-1.0,148.74201059770476,1.44065,0,-0.0003819584846495,-0.005,9916.134039846984,9767.392029249278,9334.419412604704,9485.4958256316,1.41804
-1.0,146.51088043873918,1.44147,0,-0.0001834273338316,-0.005,9767.392029249278,9620.881148810538,9485.4958256316,9634.388129151417,1.41804
-1.0,144.31321723215808,1.4408,0,-6.812810897821862e-05,-0.005,9620.881148810538,9476.56793157838,9634.388129151417,9780.981030464784,1.41804
-1.0,142.1485189736757,1.43683,0,-0.0002706527709959,-0.005,9476.56793157838,9334.419412604704,9780.981030464784,9924.988482416971,1.41804
-1.0,148.87482723625456,1.41804,1,-0.0001343369483946,-0.005,9924.988482416971,9776.113655180716,0.0,0.0,
1.0,146.64170482771073,1.41804,1,6.029605865491954e-05,0.005,9776.113655180716,9629.471950353005,0.0,0.0,
1.0,144.44207925529506,1.41917,1,0.0003313660621644,0.005,9629.471950353005,9485.02987109771,0.0,0.0,
1.0,144.4498509142172,1.41289,0,0.0007480859756471,0.005,9629.990060947814,9485.540210033596,9203.108250279845,9349.019070108532,1.42718
1.0,142.28310315050393,1.41507,1,0.0004819989204407,0.005,9485.540210033596,9343.257106883091,0.0,0.0,
-1.0,140.14885660324637,1.42157,1,-4.452466964708919e-05,-0.005,9343.257106883091,9203.108250279845,0.0,0.0,
1.0,140.23528605162798,1.42718,0,0.0001530408859253,0.005,9349.019070108532,9208.783784056905,8800.573363183312,8939.174578685297,1.41055
1.0,138.13175676085356,1.42011,1,0.0002200365066529,0.005,9208.783784056905,9070.652027296052,0.0,0.0,
-1.0,136.05978040944078,1.42011,1,-0.0001644372940062,-0.005,9070.652027296052,8934.59224688661,0.0,0.0,
-1.0,134.01888370329914,1.41677,1,-0.0001373052597043,-0.005,8934.59224688661,8800.573363183312,0.0,0.0,
1.0,134.08761868027946,1.41055,1,0.0001484870910645,0.005,8939.174578685297,8805.086960005017,0.0,0.0,
1.0,132.07630440007526,1.41271,1,0.0001710653305055,0.005,8805.086960005017,8673.010655604941,0.0,0.0,
