day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 106, date: 2009-06-18, price: 1.3908, Account Balance: 9817.720400967692, in play: 148.86514839086607, total: 9966.585549358557
day: 107, date: 2009-06-19, price: 1.3938, Account Balance: 9670.454594953177, in play: 296.76971832773984, total: 9967.224313280916
day: 108, date: 2009-06-20, price: 1.3938, Account Balance: 9525.39777602888, in play: 441.8265372520375, total: 9967.224313280918
day: 109, date: 2009-06-21, price: 1.39355, Account Balance: 9382.516809388446, in play: 584.6026273851, total: 9967.119436773546
day: 110, date: 2009-06-22, price: 1.3849, Account Balance: 9241.779057247619, in play: 720.8380693950386, total: 9962.617126642657
day: 111, date: 2009-06-23, price: 1.4069, Account Balance: 9103.152371388904, in play: 873.1178887764496, total: 9976.270260165353
day: 112, date: 2009-06-24, price: 1.39415, Account Balance: 9248.699141001021, in play: 717.5989017988543, total: 9966.298042799875
day: 113, date: 2009-06-25, price: 1.40092, Account Balance: 9109.968653886006, in play: 860.4877290945867, total: 9970.456382980592
day: 114, date: 2009-06-26, price: 1.4053, Account Balance: 8973.319124077716, in play: 1000.2548253549189, total: 9973.573949432635
day: 115, date: 2009-06-27, price: 1.4053, Account Balance: 8838.71933721655, in play: 1134.8546122160847, total: 9973.573949432634
day: 116, date: 2009-06-28, price: 1.40695, Account Balance: 8706.138547158302, in play: 1268.9235317938324, total: 9975.062078952134
day: 117, date: 2009-06-29, price: 1.40691, Account Balance: 8575.546468950926, in play: 1399.475821363089, total: 9975.022290314015
day: 118, date: 2009-06-30, price: 1.4098, Account Balance: 8446.913271916663, in play: 1531.2479790012067, total: 9978.16125091787
day: 119, date: 2009-07-01, price: 1.41447, Account Balance: 8882.44283345615, in play: 1096.223064532203, total: 9978.665897988354
day: 120, date: 2009-07-02, price: 1.39596, Account Balance: 8894.610101554117, in play: 1066.1386280217487, total: 9960.748729575866
