day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 96, date: 2009-06-08, price: 1.39285, Account Balance: 9585.29473516981, in play: 443.3483124785978, total: 10028.643047648407
day: 97, date: 2009-06-09, price: 1.4062, Account Balance: 9441.515314142262, in play: 592.7551558720186, total: 10034.27047001428
day: 98, date: 2009-06-10, price: 1.3988, Account Balance: 9299.892584430128, in play: 730.5132885472284, total: 10030.405872977357
day: 99, date: 2009-06-11, price: 1.41245, Account Balance: 9160.394195663677, in play: 878.5015682168344, total: 10038.895763880511
day: 100, date: 2009-06-12, price: 1.4015, Account Balance: 9606.062034318167, in play: 426.0681649113909, total: 10032.130199229558
day: 101, date: 2009-06-13, price: 1.4015, Account Balance: 9461.971103803395, in play: 570.1590954261634, total: 10032.130199229558
day: 102, date: 2009-06-14, price: 1.39763, Account Balance: 9320.041537246343, in play: 710.1223522280413, total: 10030.163889474385
day: 103, date: 2009-06-15, price: 1.37737, Account Balance: 9325.843705363137, in play: 697.135649719695, total: 10022.979355082833
day: 104, date: 2009-06-16, price: 1.38143, Account Balance: 9881.50424813093, in play: 150.92332127739851, total: 10032.427569408328
day: 105, date: 2009-06-17, price: 1.39681, Account Balance: 9733.281684408967, in play: 302.476393031829, total: 10035.758077440796
day: 106, date: 2009-06-18, price: 1.3908, Account Balance: 9881.037722834279, in play: 149.8252228409851, total: 10030.862945675264
day: 107, date: 2009-06-19, price: 1.3938, Account Balance: 9732.822156991764, in play: 298.6836721793653, total: 10031.50582917113
day: 108, date: 2009-06-20, price: 1.3938, Account Balance: 9586.829824636887, in play: 444.67600453424177, total: 10031.505829171128
day: 109, date: 2009-06-21, price: 1.39355, Account Balance: 9443.027377267334, in play: 588.3728990174586, total: 10031.400276284792
day: 110, date: 2009-06-22, price: 1.3849, Account Balance: 9301.381966608324, in play: 725.4869628437741, total: 10026.868929452097
day: 111, date: 2009-06-23, price: 1.4069, Account Balance: 9161.861237109199, in play: 878.7488788773372, total: 10040.610115986536
day: 112, date: 2009-06-24, price: 1.39415, Account Balance: 9311.726715290495, in play: 722.2779110671573, total: 10034.004626357653
day: 113, date: 2009-06-25, price: 1.40092, Account Balance: 9172.050814561138, in play: 866.1394642054108, total: 10038.19027876655
day: 114, date: 2009-06-26, price: 1.4053, Account Balance: 9034.470052342722, in play: 1006.8583746348153, total: 10041.328426977538
day: 115, date: 2009-06-27, price: 1.4053, Account Balance: 8898.95300155758, in play: 1142.3754254199562, total: 10041.328426977536
